volbtc_lag1,rsi_lag1,signal
2705.507825,86.81594337,-1
2610.715059,88.97067853,-1
1700.166361,86.8112424,0
1219.412694,87.68748237,0
1037.47735,89.9182843,0
1228.490963,74.37751553,0
909.0941784,76.66824252,0
1641.047676,70.71394398,0
975.277594,71.58766522,0
1130.735774,73.73875525,0
635.277096,70.69524576,0
348.5082247,71.31455284,0
1309.076649,66.64922798,0
681.7442271,67.38378704,0
935.8632118,64.72026688,0
1154.323097,67.03592738,0
848.2349587,70.3515654,0
706.7968513,70.53224262,0
1174.439306,71.64265344,0
1612.281677,69.65299472,0
1322.740388,71.10694766,0
1477.027234,71.85362387,0
1012.90362,67.70477496,0
579.4360137,69.62502649,0
2502.247133,53.60271494,0
2176.76971,52.1613521,0
2022.117335,56.58624136,0
1167.029824,56.24781042,0
578.4741817,52.92722254,0
583.2071308,58.17463702,0
1086.956679,52.66809548,0
1231.90379,56.13999597,0
1028.338644,58.22707419,0
784.5866677,56.2658659,0
538.6096064,55.19195733,0
492.8071421,55.37314899,0
1132.213605,50.38175772,0
1167.748631,51.62038137,0
864.3560377,50.33762104,0
859.319864,50.70007584,0
635.9803974,51.56799313,0
545.0700896,49.44638032,0
784.6674495,49.96196778,0
1064.863287,53.34406153,0
1791.523389,55.06216912,0
1185.784184,62.2581216,0
584.4917326,63.13542376,0
499.5550002,61.59356113,0
592.9953392,63.82716299,0
809.462499,63.84114231,0
1932.163029,81.35100484,0
3588.302958,88.43029638,-1
2226.301736,80.7368316,0
1601.61778,83.85116634,0
2599.869187,85.24859594,0
2806.090714,84.29367007,0
5167.153096,88.94416175,0
2039.885711,89.31409873,-1
2418.097243,90.15729718,-1
1494.209067,91.80059164,-1
5147.172351,78.8277878,0
2888.812203,79.14286899,0
1585.773775,81.7246522,0
2570.813331,72.50590013,0
1078.171422,72.61824306,0
1076.426045,70.67123266,0
2988.935099,58.10563552,0
3216.159941,61.82646465,0
1696.216905,63.59293878,0
1101.407248,62.89516709,0
920.7449554,61.74196878,0
907.9508945,62.50129374,0
1596.845665,64.6620364,0
1990.972241,66.47125445,0
1442.70616,67.97899596,0
4999.613512,76.91672727,0
1746.956306,77.6868509,0
1853.151187,77.83313544,0
2154.633706,78.6878864,0
3348.862117,83.25321829,0
2711.122462,83.43257261,0
1640.922448,84.11036167,0
4378.379596,64.87056615,0
1318.80574,64.92015127,0
1804.759587,66.51230854,0
2369.35142,69.40488296,0
2498.109857,65.23143606,0
1882.056461,60.59496512,0
757.0874491,62.24407105,0
611.3557015,65.03388382,0
1137.945254,64.80315957,0
2779.167898,69.85127326,0
2452.856317,61.43882969,0
1017.823406,56.94737498,0
923.7958064,59.09432098,0
719.8350235,59.26101387,0
779.9268427,63.2645066,0
1185.984121,59.67746595,0
831.5354113,62.16513125,0
896.456739,59.04404765,0
760.4637316,59.39981907,0
1161.999646,52.09942293,0
2786.563054,48.16488583,0
1771.750946,45.55561605,0
2451.573817,34.93523875,1
9331.817306,38.4896869,0
3003.327883,37.90334648,0
1787.790822,27.77490367,0
5157.862104,29.37152614,1
4293.267716,26.66468869,1
2556.339698,32.71945641,0
1964.357393,30.98365355,0
1558.317415,37.58942088,0
974.7917483,35.27536596,0
1794.884266,32.76226844,0
4688.354512,27.8497614,1
4988.733067,24.26874783,1
6289.383874,22.73040789,1
1941.385069,23.63698521,0
1082.267476,23.37121596,0
2624.688674,19.67573331,0
5913.715926,37.87741925,0
2624.05939,43.02347239,0
6112.640889,52.32793455,0
5360.314495,55.84341893,0
1721.60242,53.29115164,0
2892.249348,46.88336725,0
1790.949127,50.78809722,0
1206.707818,51.7208893,0
2186.062194,56.37347019,0
1423.434381,56.04528475,0
467.0281678,53.78101026,0
907.446381,54.13757798,0
1963.286963,49.48350874,0
788.5822158,51.22727937,0
558.0890431,49.45618197,0
683.6177898,48.2796783,0
448.5454899,48.5555265,0
1873.592357,41.03660222,0
1257.346319,41.02945256,1
989.587504,42.31384904,0
1398.818854,47.69978386,0
587.3014699,47.5712525,0
519.0955995,44.82421607,0
1192.76829,42.79879106,0
1460.565426,45.60272368,0
1570.024753,50.22238727,0
1084.449037,50.18222436,0
529.8563866,47.97370881,0
473.4981871,48.8680637,0
1192.174629,45.36549847,0
1160.043338,47.04124707,0
1299.252264,46.92426799,0
1400.808475,42.88419247,0
575.7560682,43.36400926,1
647.464064,42.55131374,0
1059.506372,41.27542141,0
1395.441689,44.33897595,0
1527.384403,44.23375993,0
1167.440095,43.02431109,0
578.6750702,44.70192988,0
907.2337276,52.32977142,0
2105.887315,60.45436352,0
1997.355195,60.27453151,0
1077.121604,62.77026739,0
1440.833666,67.27658948,0
1201.476448,62.54113793,0
645.8279868,63.49796769,0
1231.849442,59.30971091,0
1206.04791,60.40531179,0
1132.999785,60.98805718,0
622.6339924,62.22087145,0
462.9131052,62.1690578,0
992.6406168,67.73023425,0
976.4989225,66.78574741,0
906.5851311,69.32188343,0
1164.055669,72.58244401,0
1489.762587,60.64644275,0
685.6987077,55.83552881,0
790.1509569,53.69573184,0
1610.113518,41.20254332,1
1224.741232,48.77956166,0
768.1410631,45.33043194,0
1013.06752,50.80440513,0
648.1314588,51.44474721,0
558.7807427,49.65846401,0
722.7862243,51.2110181,0
739.5917706,52.18419407,0
762.8139364,54.6719236,0
708.6733678,53.80959112,0
699.4714809,49.2782075,0
689.2223001,49.82175468,0
934.4277576,48.02375662,0
1035.514391,47.22125115,0
1044.908993,46.92362116,0
1254.008433,53.88305428,0
561.8079997,48.528572,0
451.9727384,49.07573335,0
1052.063639,49.68249593,0
1120.716225,51.63841757,0
1276.993446,53.8126156,0
1282.781371,49.93572996,0
2859.128535,32.25226088,0
815.4070182,36.68856574,1
1778.609522,32.98945311,1
3110.47079,27.28214045,1
2471.832424,40.19610509,0
2204.975606,40.2843807,0
1616.742295,41.88938524,0
1745.983807,41.83276286,0
2537.154883,45.614572,0
1857.863113,48.72487877,0
2776.120839,54.44107471,0
2315.842899,49.20720978,0
1099.702288,49.43902672,0
973.9613317,46.49978446,0
1624.684474,51.24169054,0
3651.910609,43.90312871,0
1566.288546,49.89232593,0
1159.127475,47.28823836,0
1003.271558,47.07982901,0
856.4915827,46.61164548,0
768.0925731,44.6213987,0
871.036494,47.77079815,0
684.4251217,48.05882854,0
1616.360551,52.36520475,0
968.7318916,47.77567047,0
861.807135,46.62327099,0
1101.205432,46.80227251,0
1239.629338,47.30469069,0
1615.045324,47.36147322,0
2520.873283,46.85656405,0
1691.651607,46.63416785,0
2489.029412,51.27404224,0
1848.345993,56.29385276,0
2138.095729,62.09428911,0
1329.023246,58.92734696,0
2163.050696,57.34271892,0
3908.348927,59.05860257,0
4792.513952,59.30825951,0
4071.464041,55.3640278,0
3189.845596,52.10157606,0
4802.714932,46.82328391,0
1228.511799,47.01044486,0
481.990487,47.365119,0
311.3589316,52.52978545,0
948.8929522,54.60544552,0
883.156167,53.65050928,0
834.8937819,53.24432853,0
883.5649289,56.84022457,0
572.0099487,57.20872997,0
493.8244646,57.66667444,0
816.6736658,55.01930874,0
954.0599936,56.72328361,0
1071.739856,59.41244429,0
647.4417172,61.55627903,0
551.3126777,57.69121968,0
309.7876333,58.31610282,0
562.6242515,50.96819091,0
485.8108079,54.49073643,0
400.5372367,55.23192526,0
697.6806204,58.49388367,0
414.4157443,60.14481389,0
202.2925727,59.44099459,0
571.6098592,61.5096521,0
1470.113937,70.88444981,0
655.8417876,71.33556699,0
737.5122969,75.00705886,0
654.0020209,69.00748768,0
410.7405736,65.91762897,0
767.0009998,67.03247891,0
1217.676868,49.33248191,0
809.0350798,55.43797443,0
574.8863383,56.28358713,0
342.0107533,55.86450598,0
318.6338914,52.29306026,0
785.300343,51.19428709,0
1132.836194,47.67750705,0
701.0464651,52.85993935,0
546.1632629,53.68117963,0
323.9286454,50.61776316,0
295.4648996,49.86692327,0
799.9627767,42.91371154,0
822.1110754,41.44851459,1
866.2777686,43.14591397,0
724.1827755,38.08897357,0
398.6034319,42.7733431,0
254.5704761,41.40825911,0
636.3343803,43.56738123,0
1169.485159,46.65326639,0
837.6310969,46.55762457,0
957.0703081,50.74428592,0
639.9165317,48.24237519,0
615.0610435,41.07056818,0
2122.354196,30.71860492,1
1539.289979,38.13294266,0
1507.657842,35.02629919,0
1297.722082,44.37736003,0
602.7415903,40.50289985,0
371.3127465,43.99559594,0
528.5547979,42.3700311,0
790.3571457,42.08566319,0
820.5353303,41.66185926,0
583.4963439,41.99294669,0
540.965476,42.64149796,0
209.7137564,45.27708525,0
692.7911906,46.05269063,0
1190.536129,51.74007464,0
689.3915698,47.96728705,0
462.1632275,50.91671915,0
587.9150377,41.1880707,0
397.8890027,39.49356007,1
867.2619524,46.47439053,0
979.1100137,44.93826046,0
1006.300284,45.32748305,0
788.680428,44.77910248,0
1221.152248,33.27342076,0
623.3015316,38.58611829,0
1183.441339,45.19823934,0
1459.274741,47.31913517,0
1239.761155,44.32627929,0
1037.296585,42.71009199,0
957.5583256,46.27303197,0
471.3628093,43.85132925,0
642.7721957,48.45615094,0
1125.065631,50.50963097,0
976.416875,50.29384997,0
612.0770302,50.53766559,0
356.5668862,49.71480098,0
477.4507519,48.98380906,0
855.0300078,49.12478851,0
785.9190564,50.61546621,0
825.0108041,50.59298115,0
832.8724377,50.64020907,0
454.6133946,51.83029987,0
366.1847019,48.62152922,0
705.2502465,47.65788592,0
1355.760737,48.13657315,0
664.0788495,49.77512438,0
478.7722864,53.91681935,0
356.205305,51.53063369,0
488.3478203,43.42247252,0
445.4714889,53.73016271,0
784.896142,46.22810039,0
511.1326,47.27330475,0
1375.726859,24.76602601,0
1089.721727,33.14335452,0
534.9996512,28.83504505,0
1008.257594,32.90733534,0
984.4715426,28.72648315,0
1362.696516,24.58664166,0
1515.722686,21.22503814,1
1239.276632,30.09971596,0
623.395038,29.22651666,0
924.5301477,27.31777453,0
1482.392648,23.11785851,0
2502.272617,20.19634886,1
1576.095795,17.09702214,1
2189.547957,30.47022629,0
881.979975,28.19856895,0
1457.0914,27.59617678,0
4275.708151,18.0079753,0
4691.565922,13.6604927,1
8463.047488,19.83886848,0
2023.764053,21.10902479,0
991.8339922,24.86183267,0
3693.148542,28.47665458,0
3148.222262,36.81367078,0
2069.1864,38.0901279,0
1859.695942,49.84010325,0
1346.245958,44.52873467,0
1101.676295,42.61029878,0
1369.476377,42.75562587,0
2010.362725,38.41687851,0
1883.420188,48.5013061,0
834.890095,46.48979016,0
791.8742491,43.67461841,0
585.4338797,43.95759194,0
997.5206015,43.72902208,0
1444.999877,45.17780594,0
924.7718159,48.21496858,0
637.607305,48.74168212,0
519.9019144,45.12534789,0
229.574374,45.89707594,0
578.6047536,45.62714014,0
1380.756436,51.96185525,0
594.313192,54.01794085,0
652.5183171,54.18301923,0
468.0668511,55.91675936,0
287.3962846,56.33895368,0
640.0630904,58.18128357,0
789.3041514,52.83353866,0
491.1683531,54.94939208,0
582.9079432,53.97568119,0
531.1595693,51.62144997,0
308.2633913,53.21884155,0
614.6790248,52.68876889,0
803.682941,54.00717281,0
1056.920589,51.34305326,0
921.4055029,51.15040954,0
556.6177787,48.66644644,0
471.0006648,51.42885743,0
830.2084122,50.86416359,0
1122.738455,46.46836081,0
947.0995831,45.8812115,0
754.6726321,47.74295784,0
1253.880773,48.52431355,0
4039.752784,48.03921026,0
1412.704349,61.45364273,0
1147.861111,58.11670574,0
878.9844809,54.67362198,0
755.5184914,56.60941148,0
668.3139676,52.73642495,0
284.5517598,55.14021493,0
815.2696044,50.68083834,0
1595.776577,44.62178092,1
991.1409685,45.65641545,0
719.0697196,41.50213174,1
476.5988268,47.74219323,0
273.4885127,46.93072431,0
784.1504314,47.5098355,0
815.8048341,44.81661229,0
842.4797609,46.97468228,0
596.6303726,46.8169448,0
333.547568,48.16043437,0
200.0310257,48.17682785,0
384.6266782,47.85090506,0
883.9232362,45.86280262,0
477.5312931,44.76866038,0
542.83451,38.8557589,1
388.8287596,40.90790254,0
303.6517688,34.01515863,0
1017.299998,28.84133034,1
1098.290815,26.49246585,1
857.8860316,35.95404381,0
742.9024702,33.93388047,0
514.2851843,34.57428687,0
388.8464617,34.11030431,0
1057.787707,26.06081741,0
1009.663074,30.53654918,0
721.3539266,33.86704288,0
864.4131562,35.04097899,0
431.7269886,34.81910441,0
463.4601787,34.63914117,0
1129.396422,50.13125832,0
1013.034098,54.64305278,0
820.8394186,52.52538386,0
688.0453596,52.25278299,0
423.259412,53.6767642,0
414.0325802,51.07530907,0
1006.786581,44.60942184,0
1146.972896,43.20442018,1
859.3135926,46.00441337,0
799.659985,46.39817397,0
380.8305112,46.06926383,0
393.372026,49.84103923,0
734.1369469,46.18587064,0
954.6105039,49.59013635,0
749.8334983,45.96348846,0
648.239629,47.65281472,0
418.8218054,46.4791861,0
301.0973883,48.09621223,0
729.2339593,48.48130122,0
937.7259389,48.41303884,0
1041.017282,44.9800863,0
599.0156842,44.91194721,1
193.104075,47.94108063,0
964.3103194,60.8207441,0
589.9730196,57.5672244,0
658.3161976,61.55708746,0
685.070795,61.91386831,0
594.0971786,62.02231851,0
282.7321379,64.79335514,0
198.0902065,59.81828356,0
353.0970152,61.15818953,0
448.799263,57.4848555,0
628.6321111,57.42346171,0
616.1536478,57.32456366,0
436.3600213,54.65512598,0
345.9913942,58.16096679,0
769.5718547,66.97312994,0
1055.025845,63.37113926,0
1311.940713,63.84526899,0
724.9124111,65.41225136,0
343.0038428,66.47548196,0
697.1639194,50.60719704,0
775.3985594,50.7081652,0
1396.735449,45.95348056,0
1176.543731,52.88711467,0
650.0960245,46.77811887,0
394.6280952,49.33327254,0
380.1738038,48.70966596,0
706.7304122,44.62119133,0
885.9644933,46.60687748,0
867.5494367,44.03279792,0
754.2543012,39.00925822,0
491.5127138,36.91451907,1
294.5868201,36.2982699,1
630.3585925,36.68952687,0
923.2898848,40.81765359,0
1055.981733,39.87623471,0
593.9786179,41.98238648,0
384.9853407,45.03797808,0
348.479858,49.09392675,0
685.8319016,49.90367411,0
790.7189803,51.7960135,0
635.4545654,52.94453508,0
757.9284759,44.44352469,0
339.7800319,43.31695357,0
283.0701727,40.59167181,1
537.5763296,28.73780287,1
692.6527998,31.83350423,1
531.6155994,31.95288256,0
468.4566483,32.33572488,0
261.0837261,35.17250061,0
255.0903463,36.96758432,0
518.6588454,39.97971233,0
603.9701522,44.2616139,0
530.0593737,50.53411532,0
1019.140337,52.46565875,0
575.7585257,45.11069823,0
370.0886199,47.6838528,0
803.6068147,46.28822585,0
1132.524072,43.84561653,0
748.7175579,43.55252021,0
918.8773089,43.64267871,0
585.0224184,53.48401657,0
353.2907951,56.32215457,0
667.8501918,52.62051965,0
782.4633417,50.49952924,0
895.01834,49.93753786,0
779.3027497,44.79865468,0
392.5567166,42.54666202,0
422.0076049,39.75551817,1
870.7338224,38.99215985,1
1145.466649,34.68837179,1
859.5037375,45.72192979,0
825.9701659,46.13715815,0
700.1410762,39.97813991,0
505.8060762,42.54023682,0
892.5649295,37.43672538,0
1335.368583,45.71436287,0
947.7945692,49.30801664,0
618.1149957,43.18156464,0
402.0756984,44.03840137,0
342.420999,50.1616081,0
1293.278005,58.2718729,0
1265.588871,54.54176809,0
918.6979345,58.33702126,0
629.2567751,55.24911349,0
412.5007565,58.41814053,0
236.1614456,57.70260811,0
525.0097183,58.55007304,0
1759.685259,82.26953058,0
1163.662298,84.74459517,0
701.816439,77.68232822,0
355.8612313,78.53231912,0
480.2662867,81.51454758,0
1491.238462,85.00085965,0
955.6986658,79.57435937,0
647.8977549,80.50807261,0
436.3110011,75.97343262,0
303.3703811,75.97965922,0
408.5701709,65.85289294,0
644.9097118,67.97990213,0
603.5007538,68.88836212,0
660.2982229,65.20872954,0
618.3824494,65.75643025,0
351.3712352,68.85925113,0
414.8287133,65.59212887,0
939.7379088,68.04599091,0
1133.191578,69.19666326,0
748.465801,70.36433143,0
854.2028628,68.83754908,0
501.8273591,65.17367566,0
492.5034581,67.77725074,0
692.8487871,69.42862646,0
1176.333077,69.62085435,0
1004.393797,70.15969228,0
648.7482762,70.8555699,0
428.5733412,70.73713751,0
1165.054215,82.1116632,0
1122.410656,77.56205984,0
1035.694088,74.37912612,0
847.5718345,75.50000314,0
650.5433386,71.66425205,0
845.6004148,63.71154846,0
372.6090069,61.19692575,0
798.6386436,61.19692575,0
912.2825166,58.53783739,0
964.3087459,61.56745459,0
564.9376424,60.28934253,0
326.0850679,61.50018364,0
193.3036012,63.57531218,0
659.6469367,59.65565775,0
405.901685,63.73299919,0
697.9161866,60.99116116,0
440.4167128,61.56904451,0
362.7735683,61.58560808,0
256.70635,63.69214091,0
367.2847189,64.04882304,0
1788.487243,31.61012788,0
1093.498971,36.26878475,1
584.3691275,37.09702858,0
480.0173179,37.09702858,0
401.3977296,34.47756236,0
607.5981304,35.47087776,0
1200.715423,34.71149639,0
745.9606275,36.77824677,0
814.9333807,40.49380297,0
417.0286291,38.96317099,0
336.2888403,40.31298599,0
600.3586316,40.33666825,0
941.7601762,42.0934354,0
814.8097058,41.92491684,0
523.8454458,42.93634917,0
321.0422991,44.0425962,0
265.6751079,43.57605442,0
783.9160067,46.93573106,0
1059.093149,45.36336996,0
828.2096748,42.14502786,0
529.1896217,40.04890031,1
447.9314855,42.59356109,0
233.51516,44.04992353,0
731.6266832,44.56706055,0
1167.072202,39.38645825,0
890.2331565,35.66942809,1
731.4396743,38.19817915,0
427.9311945,43.66056635,0
517.7248717,40.84082495,0
831.3253862,40.81326562,0
876.8356875,45.26796608,0
839.0505351,46.69530778,0
689.1183617,45.11989194,0
273.4740216,48.41990725,0
223.2112593,47.50835432,0
619.1231631,39.33429389,0
475.3833349,50.66744929,0
688.221746,48.40070532,0
527.0188615,47.52988158,0
189.1217089,47.32610629,0
476.8116134,53.79694134,0
459.0293425,55.69698465,0
828.7732174,60.65820886,0
665.1256249,59.46302154,0
371.7239404,60.71347059,0
175.9650492,53.70463701,0
250.1148917,52.55626158,0
633.5566708,47.70725078,0
885.9591557,49.16723727,0
824.8306544,47.73207066,0
648.011934,48.2595686,0
430.2533031,52.90854669,0
305.9640357,48.67398361,0
666.1002082,47.34158505,0
1193.903558,47.29801231,0
1385.35868,36.73788988,0
1411.681269,24.65622446,1
501.2672021,23.28856312,1
271.2362269,22.70723133,0
623.8802837,22.26544742,0
1420.645609,19.11337674,0
679.7979858,25.87537055,0
684.2322044,29.7317439,0
507.1819784,27.90480688,0
251.332613,27.51957787,0
729.3984844,26.39580777,0
1030.742408,28.83009763,0
840.900268,28.25503879,0
690.6449566,34.44130013,0
367.9381517,33.30968318,0
410.4640478,42.3331133,0
706.3285614,49.27818703,0
916.5190657,52.99477502,0
707.7242659,55.95227468,0
563.2517494,62.02670171,0
404.891715,56.49431268,0
251.9512981,58.01659185,0
446.2440011,55.0678211,0
524.3229324,56.1059754,0
489.4907932,55.4359954,0
447.326016,53.8473839,0
254.6995779,53.00846277,0
293.9362205,54.79098169,0
371.5890373,42.4923608,0
814.5716952,44.19381175,1
495.3330506,48.2019515,0
493.4602249,50.20329433,0
425.9253795,51.23693984,0
451.9317309,64.89657906,0
794.8028922,64.81337783,0
1253.672639,61.06173257,0
1023.449069,63.17662936,0
849.2236601,58.73553329,0
411.6143772,60.1032352,0
335.1179413,51.16241151,0
756.5813579,53.83730552,0
1006.307344,56.55087925,0
1040.358003,55.80508332,0
691.048034,51.07128049,0
497.5943791,49.46776068,0
340.2227139,49.89134031,0
580.5858873,53.15876634,0
887.973877,53.1148855,0
784.9076172,53.36363414,0
644.6432494,52.46435195,0
547.2584742,48.0109593,0
446.0539237,57.30219004,0
800.986282,54.16073742,0
984.4003812,56.67960757,0
740.4619792,56.01662853,0
667.7149229,58.81045443,0
600.2848755,57.40793338,0
416.8413663,56.99805257,0
719.1951726,57.55749394,0
1013.111596,55.92513032,0
1369.788704,67.00893256,0
942.6095192,73.91829506,0
447.0311413,76.86650769,0
395.3495576,78.17729938,0
584.3937636,81.1786858,0
556.108125,81.98202689,0
664.7720358,76.8902111,0
440.4195221,74.37365077,0
353.9851949,64.58043713,0
386.5120392,59.3071198,0
614.6973725,49.01473434,0
556.8050498,55.10341861,0
596.7035616,57.67604792,0
921.7755851,63.48689986,0
361.503417,62.32098142,0
322.8844352,61.11233952,0
765.5024294,50.89421804,0
1119.871119,53.50687424,0
992.4352546,55.71678885,0
1270.369643,46.88691781,0
488.6702944,47.21942687,0
292.2954561,48.94062999,0
872.2974443,49.93170049,0
1228.767061,46.25159075,0
925.6881064,48.1354626,0
747.809233,46.35340793,0
426.3749113,49.63900768,0
323.6387453,50.68703784,0
932.8993336,59.17404907,0
1153.156453,53.59770886,0
912.3537706,56.51994808,0
696.1602333,55.72627737,0
470.5961384,55.85344039,0
409.5410068,56.15855769,0
568.6636892,55.28977617,0
995.7920659,53.46154208,0
806.3249423,50.59719788,0
